id,sen,nums
1,Our results indicate that the injection of corticosteroids to patients with shoulder pain due to soft tissue disorders under the USG-guidance may improve therapeutic effectiveness and reduce adverse effects.,1
2,"For a given anesthesia condition, the Mogen clamp is associated with a less painful procedure than the Gomco.",1
3,No statistical difference was found in the efficacy of citalopram and risperidone for the treatment of either agitation or psychotic symptoms in patients with dementia.,1
4,These findings need to be replicated before citalopram or other serotonergic antidepressants can be recommended as alternatives to antipsychotics for the treatment of agitation or psychotic symptoms associated with dementia.,0
5,We conclude that losartan alone or in combination with HCTZ was generally well tolerated and effective in the treatment of elevated systolic and diastolic BP in obese patients with hypertension.,0
6,"There is a real, immediate improvement in breastfeeding, detectable by the mother, which is sustained and does not appear to be due to a placebo effect.",0
7,"In an unselected birth cohort, more than one in four children had wheezing that persisted from childhood to adulthood or that relapsed after remission.",0
8,"The factors predicting persistence or relapse were sensitization to house dust mites, airway hyperresponsiveness, female sex, smoking, and early age at onset.",1
9,"These findings, together with persistently low lung function, suggest that outcomes in adult asthma may be determined primarily in early childhood.",1
10,"This study was a negative study, though there was a suggestion of benefit of methylprednisolone acetate in a population of young adults with acute radicular low back pain.",1
11,"Among patients at high risk for cardiovascular events but without diabetes, targeting a systolic blood pressure of less than 120 mm Hg, as compared with less than 140 mm Hg, resulted in lower rates of fatal and nonfatal major cardiovascular events and death from any cause, although significantly higher rates of some adverse events were observed in the intensive-treatment group.",0
12,"US guidance significantly improves the accuracy of joint injection, allowing a trainee to rapidly achieve higher accuracy than more experienced rheumatologists.",0
13,The procedure of a delayed cord clamping time of at least 30 s is safe to use and does not compromise the preterm infant in the initial post-partum adaptation phase.,0
14,"Our results suggest that ""medical expulsive therapy,"" using either alpha-antagonists or calcium channel blockers, augments the stone expulsion rate compared to standard therapy for moderately sized distal ureteral stones.",0
15,This systematic review aims to evaluate the benefit and side effect of Xuezhikang for coronary heart disease (CHD) complicated by dyslipidemia.,1
16,All randomized clinical trials (RCTs) with Xuezhikang as a treatment for CHD combined with dyslipidemia were considered for inclusion.,0
17,Data extraction and analyses and quality assessment were conducted according to the Cochrane standards.,1
18,"Xuezhikang showed significant benefit on the incidence of all-cause deaths, CHD deaths, myocardial infarction, and revascularization as compared with placebo based on conventional treatment for CHD.",0
19,"It remarkably lowered total cholesterol (TC), triglyceride (TG), and low-density lipoprotein-cholesterol (LDL-C) as compared with the placebo or inositol nicotinate group, which was similar to statins group.",0
20,"Xuezhikang also raised high-density lipoprotein cholesterol (HDL-C) compared to placebo or no intervention, which was similar to Inositol nicotinate and slightly inferior to statins.",0
21,Xuezhikang showed a comprehensive lipid-regulating effect and was safe and effective in reducing cardiovascular events in CHD patients complicated by dyslipidemia.,0
22,"Bimanual pelvic examination has marked limitations for evaluating adnexa, even with ideal circumstances.",1
23,"Patient characteristics such as obesity, uterine size, and abdominal scars limit the accurate palpation of the adnexa.",1
24,"Nitrofurantoin is actively transported into human milk, achieving concentrations in milk greatly exceeding those in serum.",1
25,"Concern is warranted for suckling infants younger than 1 month old, or for infants with a high frequency of glucose-6-phosphate dehydrogenase deficiency or sensitivity to nitrofurantoin.",0
26,We found insufficient evidence to determine whether acupuncture is effective for controlling menopausal vasomotor symptoms.,0
27,"When we compared acupuncture with sham acupuncture, there was no evidence of a significant difference in their effect on menopausal vasomotor symptoms.",0
28,"When we compared acupuncture with no treatment there appeared to be a benefit from acupuncture, but acupuncture appeared to be less effective than HT.",0
29,These findings should be treated with great caution as the evidence was low or very low quality and the studies comparing acupuncture versus no treatment or HT were not controlled with sham acupuncture or placebo HT.,1
30,"Childhood ADHD predicts specific adult psychiatric disorders, namely antisocial and drug abuse disorders.",1
31,"In the adolescent outcome of this cohort, we found that these disturbances were dependent on the continuation of ADHD symptoms.",1
32,"In contrast, in adulthood, antisocial and drug disorders appeared, in part, independent of sustained ADHD.",0
33,"In addition, regardless of psychiatric status, ADHD placed children at relative risk for educational and vocational disadvantage.",0
34,The results do not support a relationship between childhood ADHD and adult mood or anxiety disorders.,0
35,Drugs commonly used to treat PCOS appear to be associated with very low risk of severe adverse effects although data are extrapolated from other populations.,0
36,Patients subjectively reported significantly greater relief from symptoms with Debacterol than with Kenalog-in-Orabase or no treatment.,1
37,"The relief of symptoms associated with recurrent aphthous stomatitis may or may not correspond to clinical improvement, and these two topical medications may affect signs and symptoms of the lesions differently.",1
38,"On the basis of these and other findings on pain prevention and amelioration, we recommend that a local anesthetic be administered in advance of circumcision and that the Mogen procedure be used, unless contraindicated.",2
39,"We also recommend that infants be given a sweetened pacifier before, during, and after circumcision if the Gomco method is used.",0
40,A more active approach to the diagnosis and management of precursor lesions may often prevent the development of vulvar cancer.,0
41,Ankyloglossia is a relatively common finding in the newborn population and represents a significant proportion of breastfeeding problems.,0
42,"Careful assessment of the lingual function, followed by frenuloplasty when indicated, seems to be a successful approach to the facilitation of breastfeeding in the presence of significant ankyloglossia.",0
43,"Ankyloglossia, which is a relatively common finding in the newborn population, adversely affects breastfeeding in selected infants.",1
44,Neither an antibiotic nor a topical steroid alone or in combination was effective as a treatment for acute sinusitis in the primary care setting.,0
45,Currently there are relatively few studies of antidepressants for the treatment of agitation and psychosis in dementia.,2
46,The SSRIs sertraline and citalopram were associated with a reduction in symptoms of agitation when compared to placebo in two studies.,0
47,"Both SSRIs and trazodone appear to be tolerated reasonably well when compared to placebo, typical antipsychotics and atypical antipsychotics.",0
48,"Future studies involving more subjects are required to determine if SSRIs, trazodone, or other antidepressants are safe and effective treatments for agitation and psychosis in dementia.",0
49,Evidence suggests that the mode of action of bupropion and nortriptyline is independent of their antidepressant effect and that they are of similar efficacy to nicotine replacement.,0
50,"Evidence also suggests that bupropion is less effective than varenicline, but further research is needed to confirm this finding.",1
51,Atypical antipsychotic use is associated with an increased risk for death compared with nonuse among older adults with dementia.,2
52,The risk for death may be greater with conventional antipsychotics than with atypical antipsychotics.,2
53,"There is no consistent evidence that anxiolytics aid smoking cessation, but the available evidence does not rule out a possible effect.",0
54,"In this systematic review we present information relating to the effectiveness and safety of the following interventions: analgesics (local), carbenoxolone mouthwash, chlorhexidine (and similar agents), corticosteroids (topical), and tetracycline antibiotic mouthwash.",0
55,"Most patients will get better without antibiotics, supporting the current ""no antibiotic as first line"" advice.",0
56,"The SFA Scale is a reliable, valid, and accurate measure of shoulder function in patients with RA that can be completed within 3 minutes.",0
57,"We meta-analyzed more and newer research results, and separated women according to menopausal status to explore soy isoflavone-breast cancer association.",1
58,We founded that soy isoflavone intake could lower the risk of breast cancer for both pre- and post-menopausal women in Asian countries.,2
59,"However, for women in Western countries, pre- or post-menopausal, there is no evidence to suggest an association between intake of soy isoflavone and breast cancer.",0
60,The majority of infants with wheezing have transient conditions associated with diminished airway function at birth and do not have increased risks of asthma or allergies later in life.,0
61,"In a substantial minority of infants, however, wheezing episodes are probably related to a predisposition to asthma.",0
62,One week of continuous auricular acupuncture decreases the pain and disability experienced by women with pregnancy-related low back and posterior pelvic pain.,0
63,"Based on these findings and those of prior studies, once-daily AzA 15% gel can therefore be utilized as a safe, effective, and economical dosing option for the treatment of mild-to-moderate papulopustular rosacea.",0
64,Once-daily dosing of AzA 15% gel was well accepted by patients and can offer considerable dosing flexibility and convenience for the patient as well as for the dermatologist.,1
65,"These bioflavonoids improve early outcomes in cadaveric renal transplantation, possibly through HO-1 induction.",2
66,"It can thus be concluded that in the management of rosacea, basic skin care regimens, including daily use of a therapeutic moisturizer, offer optimal benefits.",1
67,"The CDP was a randomized, placebo-controlled clinical trial of lipid-modifying agents in men with previous myocardial infarction (MI).",0
68,"Of the 5 drug regimens, only niacin significantly decreased definite recurrent nonfatal MI at 6 years and total mortality at a 15-year follow-up.",0
69,"Patients treated with niacin (n = 1,119) and placebo (n = 2,787) were grouped according to the presence or absence of the MS at baseline.",0
70,"The MS was defined on the basis of meeting > or =3 of 5 criteria from the current National Cholesterol Education Program guidelines in a small subgroup of patients with high-density lipoprotein cholesterol determinations at baseline and on the basis of > or =3 of 4 criteria in the total population, excluding the high-density lipoprotein cholesterol criterion.",0
71,"Niacin decreased the occurrence of 6-year MI and 15-year total mortality similarly among patients with or without the MS. For example, in the total population, 15-year total mortality rates were 60% and 64% (hazard ratio 0.86) in patients with the MS treated with niacin and placebo, respectively, and 50% and 57% (hazard ratio 0.86) in those without the MS (Z for interaction = 0.06, indicating homogeneity of the treatment effect across groups).",1
72,"In conclusion, these results support the use of niacin in postinfarction patients with and without the MS.",2
73,"This study demonstrates that, when used in conjunction with DPNB, a pacifier dipped in 24% sucrose and a more comfortable, padded, and physiologic restraint can be useful in decreasing distress and pain.",1
74,"The uncertain quality of identified trials highlights the need for improved reporting of study methods, particularly with regards to allocation concealment and the handling of incomplete outcome data.",0
75,"The effect of black cohosh on other important outcomes, such as health-related quality of life, sexuality, bone health, night sweats and cost-effectiveness also warrants further investigation.",0
76,"At the present time, evidence from randomized trials does not support blood pressure targets lower than the standard targets in people with elevated blood pressure and diabetes.",0
77,"More randomized controlled trials are needed, with future trials reporting total mortality, total serious adverse events as well as cardiovascular and renal events.",0
78,"Lower was better, although not consistently so for myocardial infarction, stroke, heart failure and perhaps angina.",1
79,"However, problems with standardization and safety concerns may limit their applicability in clinical practice.",1
80,"Whole-grain intake, largely attributed to the cereal fiber, is inversely associated with HOMA-IR and a lower prevalence of the metabolic syndrome.",0
81,Dietary glycemic index is positively associated with HOMA-IR and prevalence of the metabolic syndrome.,0
82,"Given that both a high cereal fiber content and lower glycemic index are attributes of whole-grain foods, recommendation to increase whole-grain intake may reduce the risk of developing the metabolic syndrome.",0
83,"The results of this study demonstrate that intake of 1, 3, or 6 g of cinnamon per day reduces serum glucose, triglyceride, LDL cholesterol, and total cholesterol in people with type 2 diabetes and suggest that the inclusion of cinnamon in the diet of people with type 2 diabetes will reduce risk factors associated with diabetes and cardiovascular diseases.",0
84,Use of cinnamon showed a beneficial effect on glycaemic control (both HbA1c and FPG) and the short term (<4 months) effects of the use of cinnamon on glycaemic control looks promising.,0
85,A brief intervention to increase the dialogue between patients and health care providers about behavioral goals can lead to increased physical activity and weight loss.,1
86,"The combined therapy of TFGs with sulfonylureas hypoglycemic drug could lower the blood glucose level and ameliorate clinical symptoms in the treatment of T2DM, and the therapy was relatively safe.",1
87,"Colchicine prophylaxis during initiation of allopurinol for chronic gouty arthritis reduces the frequency and severity of acute flares, and reduces the likelihood of recurrent flares.",1
88,Treating patients with colchicine during initiation of allopurinol therapy for 6 months is supported by our data.,0
89,Blood pressure reduction from combining drugs from these 4 classes can be predicted on the basis of additive effects.,1
90,The extra blood pressure reduction from combining drugs from 2 different classes is approximately 5 times greater than doubling the dose of 1 drug.,0
91,The combination of curcumin and quercetin appears to reduce the number and size of ileal and rectal adenomas in patients with FAP without appreciable toxicity.,0
92,Both prednisolone 1 mg/kg and low-dose dexamethasone (0.15 mg/kg) were found not to differ in efficacy from the currently recommended 0.6 mg/kg dexamethasone.,1
93,The use of these corticosteroid regimens in treating patients with mild to moderate croup is thus supported.,1
94,The main overall finding from this study is that saffron may be of therapeutic benefit in the treatment of mild to moderate depression.,0
95,To the best of our knowledge this is the first clinical trial that supports this indication for saffron.,0
96,"Supplementation with vitamin D can be achieved equally well with daily, weekly, or monthly dosing frequencies.",1
97,"Therefore, the choice of dose frequency can be based on whichever approach will optimize an individual's adherence with long-term vitamin D supplementation.",0
98,This study indicates that azithromycin is at least as effective as doxycycline in the treatment of rosacea.,0
99,It is our recommendation that an anesthetic should be administered to newborns prior to undergoing circumcision.,1
100,"Behavioral therapy resulted in greater patient satisfaction and fewer bothersome incontinence symptoms than pessary at 3 months, but differences did not persist to 12 months.",1
101,"The electron beam CT coronary calcium score predicts CAD events independent of standard risk factors, more accurately than standard risk factors and CRP, and refines Framingham risk stratification.",0
102,"Those who are female, diabetic and have neurophysiological confirmation of diagnosis have the highest risk of relapse.",0
103,"Corticosteroids provide symptomatic relief of pain in sore throat, in addition to antibiotic therapy, mainly in participants with severe or exudative sore throat.",1
104,"There are a myriad of disorders and maladies that seem to benefit from fatty acid supplementation, specifically omega-3 fatty acids.",0
105,"It has clearly been shown that omega-3 fatty acid supplementation provides a protective benefit in heart disease, and in particular sudden cardiac death.",0
106,"Rheumatoid arthritis (RA) is another disease entity that has been proven to benefit from this nutrition intervention, with improvement in symptoms and diminished nonsteroidal antiinflammatory drug (NSAID) usage.",1
107,"In addition, many psychiatric disorders, particularly schizophrenia and major depressive disorder (MDD), have shown positive results when supplementation has been used as an adjunct to standard pharmacotherapy.",1
108,"Specifically, according to preliminary clinical evidence, parenteral administration of fatty acids warrants further study.",0
109,"A predictive nomogram, which incorporates six variables easily ascertainable at the first prenatal visit, has been developed that allows the determination of a patient-specific chance for successful VBAC for those women who undertake trial of labor.",0
110,"All smokers, irrespective of their lung function, tried to modify their habit as the result of screening for COPD combined with smoking cessation advice.",1
111,"Older age, lower tobacco exposure, and lower lung function were the predictors of success in quitting smoking.",0
112,DDS had inverse association with metabolic syndrome and some of its features in this cross-sectional study.,0
113,"A higher dietary diversity, therefore, might be associated with lower possibility of having some metabolic disorders.",1
114,"Significant associations exist between dietary patterns identified by factor analysis, the metabolic syndrome, and insulin resistance.",1
115,The evidence implies promise of a treatment effect of omega-3 fatty acids for depression in adults; although a statement of definitive clinical efficacy is premature.,0
116,"Further study of essential fatty acids as independent and adjuvant therapy for adult depression is indicated, including more sophisticated investigation of dose-response in particular populations.",0
117,High levels of parental smoking in the home are associated with a reduction in health care contacts for asthma.,1
118,This could be due to a lack of awareness of asthma symptoms among heavy smokers or a reluctance to visit the GP.,0
119,Sonographic needle guidance significantly improves the performance and outcomes of outpatient IA injections in a clinically significant manner.,0
120,"Sports activity in adolescents and young adults was associated with an increased risk of SD, both in males and females.",1
121,"Sports, per se, was not a cause of the enhanced mortality, but it triggered SD in those athletes who were affected by cardiovascular conditions predisposing to life-threatening ventricular arrhythmias during physical exercise.",1
122,"An ulcer area larger than 2 cm2, a positive probe-to-bone test result, an erythrocyte sedimentation rate of more than 70 mm/h, and an abnormal plain radiograph result are helpful in diagnosing the presence of lower extremity osteomyelitis in patients with diabetes.",0
123,"Several individual clinical features were found to be associated with a significant intracranial abnormality, and patients with these features should undergo neuroimaging.",0
124,"US-guided arthrocentesis and injection of the knee are superior to anatomic landmark palpation-guided arthrocentesis, resulting in significantly less procedural pain, improved arthrocentesis success, greater synovial fluid yield, more complete joint decompression, and improved clinical outcomes.",1
125,"In overweight/obese adolescents with PCOS, 6 months treatment with rosiglitazone was superior to drospirenone/EE in improving the cardiometabolic risk profile, and effective but inferior in attenuating hyperandrogenemia.",0
126,Additional studies are needed to test insulin sensitizers in the treatment of the reproductive and cardiometabolic aspects of PCOS.,0
127,"Our results demonstrate that drug-induced suppression of PhK activity is associated with resolution of psoriatic activity as assessed by clinical, histological and immunohistochemical criteria, and support the hypothesis that effective antipsoriatic activity may be achieved through modulation of PhK activity.",1
128,"Intensive statin therapy early after ACS leads to a reduction in clinical events at 30 days, consistent with greater early pleiotropic effects.",1
129,"In stable patients, intensive statin therapy provides long-term reduction in clinical events when compared with standard therapy.",0
130,"Thus, ACS patients should be started in-hospital and continued long-term on intensive statin therapy.",0
131,"The diagnostic performance of sensitive cardiac troponin assays is excellent, and these assays can substantially improve the early diagnosis of acute myocardial infarction, particularly in patients with a recent onset of chest pain.",0
132,"Asthmatic heredity, predisposition to early life atopy, plus early passive smoke exposure and recurrent chest infections are important influences for the occurrence of wheeze and asthma at 10 years of age.",0
133,"BHR at 10 years of age has a narrower risk profile, suggesting that factors influencing wheezing symptom expression may differ from those predisposing the patient to BHR.",0
134,The present study suggests that childhood ADHD predisposes to specific disadvantages and continues to affect important functional domains unrelated to current psychiatric diagnosis.,1
135,These findings indicate that ADHD is associated with significant educational and occupational underattainments relative to what would have been expected on the basis of intellectual potential.,1
136,This analysis is consistent with prior reports showing that ACE inhibitors decrease the risk of death following a recent MI by reducing cardiovascular mortality.,0
137,"Moreover, this analysis suggests that a reduction in SCD risk with ACE inhibitors is an important component of this survival benefit.",0
138,"In women, cholecystectomy leads to the perception of less constipation and slightly more frequent defecations but short term recordings show no consistent change in bowel function.",0
139,No significant effect of chromium on lipid or glucose metabolism was found in people without diabetes.,0
140,"However, future studies that address the limitations in the current evidence are needed before definitive claims can be made about the effect of chromium supplementation.",0
141,"The percentage of oxalate that was water soluble differed markedly between cinnamon (6%) and turmeric (91%), which appeared to be the primary cause of the greater urinary oxalate excretion/oxalate absorption from turmeric.",0
142,"The consumption of supplemental doses of turmeric, but not cinnamon, can significantly increase urinary oxalate levels, thereby increasing risk of kidney stone formation in susceptible individuals.",1
143,Children with behavioural/emotional problems who wet their beds need not first be treated for their behavioural/emotional problems.,0
144,"Bedwetting can be treated successfully with DBT when other treatments such as normal alarm treatment have failed, and alarm treatment/DBT can have a positive influence on behavioural/emotional problems.",0
145,Our data have shown that budesonide inhaled regularly for 9 months did not cause a significant improvement in the BHR of adolescents with long-term asthma remission.,0
146,This suggests that the mechanism underlying BHR in this clinical setting may be different from that in symptomatic asthma.,1
147,"Before treatment, exercise systolic BP was 213 +/- 13 mm Hg (mean +/- SD) in the 19 patients randomized to losartan and 209 +/- 11 mm Hg in the 21 patients who received HCTZ.",0
148,"After 6 months, exercise systolic BP was similarly reduced in patients who received losartan (197 +/- 23 mm Hg, p < 0.01) and HCTZ (191 +/- 11 mm Hg, p < 0.01).",0
149,"With losartan, treadmill exercise time increased from 894 +/- 216 to 951 +/- 225 seconds (p = 0.011), and quality of life improved from 15 +/- 12 to 7 +/- 10 (p = 0.015) without a change in oxygen consumption (1,895 +/- 470 to 1,954 +/- 539 ml/min, p = 0.30).",1
150,"With HCTZ, exercise time (842 +/- 225 to 872 +/- 239 seconds, p = 0.32) and quality of life (19 +/- 21 vs 19 +/- 24, p = 0.43) did not change, whereas oxygen consumption decreased from 2,144 +/- 788 to 1,960 +/- 706 ml/min (p = 0.022).",0
151,"In conclusion, in patients with diastolic dysfunction and hypertensive responses to exercise, 6 months of losartan and HCTZ blunted systolic BP during exercise.",0
152,A moderate reduction in caffeine intake in the second half of pregnancy has no effect on birth weight or length of gestation.,0
153,"Telling smokers their lung age significantly improves the likelihood of them quitting smoking, but the mechanism by which this intervention achieves its effect is unclear.",1
154,This review found support for the use of systemic acyclovir and valacyclovir for the prevention of RHL.,0
155,There is insufficient scientific evidence to conclude that wearing maternity support belts reduces pregnancy-related low back pain and/or pelvic girdle pain.,0
156,RELEVANCE TO CLINICAL PRACTICE: This review provides comprehensive understanding of the effectiveness of maternity support belts for the relief of low back pain during pregnancy which will facilitate healthcare professionals in providing evidence-based advice to their patients.,1
